indicator,subindicator,parameter,unit,code,source,memberStateCode,memberStateName,year,value,flag
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,HU,Hungary,2015,0.0,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,IE,Ireland,2015,1757110.63,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,IT,Italy,2015,41141785.03,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,LV,Latvia,2015,16086704.06,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,LT,Lithuania,2015,23488889.89,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,LU,Luxembourg,2015,84267.09,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,PL,Poland,2015,49335808.54,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,PT,Portugal,2015,25024264.52,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,RO,Romania,2015,8427987.81,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,SK,Slovakia,2015,11972117.1,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,SI,Slovenia,2015,5705717.52,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,ES,Spain,2015,39672264.9,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,SE,Sweden,2015,37740444.58,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,UK,United Kingdom,2015,5284863.39,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,AT,Austria,2015,97743049.2,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,BE,Belgium,2015,14646131.0,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,BG,Bulgaria,2015,14422021.79,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,HR,Croatia,2015,26028207.22,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,CZ,Czechia,2015,46923149.55,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,DK,Denmark,2015,20385427.55,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EE,Estonia,2015,13085751.23,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EU-27,European Union 27 (excluding UK),2015,933118523.28,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EU-28,European Union 28,2015,938771550.86,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,FI,Finland,2015,68149483.65,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,DE,Germany,2015,206599957.86,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EL,Greece,2015,2692230.56,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,HU,Hungary,2015,0.0,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,IE,Ireland,2015,3315303.07,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,IT,Italy,2015,78525808.42,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,LV,Latvia,2015,23656917.73,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,LT,Lithuania,2015,31318676.98,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,LU,Luxembourg,2015,320407.17,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,PL,Poland,2015,77535447.79,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,PT,Portugal,2015,26361914.43,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,RO,Romania,2015,8869546.45,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,SK,Slovakia,2015,16169132.9,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,SI,Slovenia,2015,7607622.98,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,ES,Spain,2015,55805779.49,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,SE,Sweden,2015,92956556.26,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,UK,United Kingdom,2015,5653027.58,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,AT,Austria,2015,422417.87,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,BE,Belgium,2015,59197.08,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,BG,Bulgaria,2015,34908.81,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,CY,Cyprus,2015,3930.64,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,CZ,Czechia,2015,311049.53,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,DK,Denmark,2015,145313.04,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,EE,Estonia,2015,141900.05,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,EU-27,European Union 27 (excluding UK),2015,5235521.44,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,EU-28,European Union 28,2015,5369813.12,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,FI,Finland,2015,228220.43,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,FR,France,2015,752940.88,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,DE,Germany,2015,848802.1,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,IE,Ireland,2015,36239.26,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,IT,Italy,2015,129897.04,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,LV,Latvia,2015,224057.16,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,LT,Lithuania,2015,166756.21,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,LU,Luxembourg,2015,1963.48,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,PL,Poland,2015,98419.32,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,PT,Portugal,2015,202601.38,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,RO,Romania,2015,33475.34,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,SK,Slovakia,2015,159586.09,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,SI,Slovenia,2015,39498.8,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,ES,Spain,2015,875363.9,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,SE,Sweden,2015,318983.04,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,UK,United Kingdom,2015,134291.68,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,AT,Austria,2014,525521.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,BE,Belgium,2014,66704.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,BG,Bulgaria,2014,47914.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,HR,Croatia,2014,50054.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,CY,Cyprus,2014,3887.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,CZ,Czechia,2014,472663.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,DK,Denmark,2014,165773.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EE,Estonia,2014,155560.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EU-27,European Union 27 (excluding UK),2014,9793694.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EU-28,European Union 28,2014,10315169.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,FI,Finland,2014,210649.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,FR,France,2014,1118845.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,DE,Germany,2014,1033807.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EL,Greece,2014,362826.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,HU,Hungary,2014,124841.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,IE,Ireland,2014,51871.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,IT,Italy,2014,1387913.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,LV,Latvia,2014,203443.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,LT,Lithuania,2014,164390.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,LU,Luxembourg,2014,4490.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,MT,Malta,2014,34.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,NL,Netherlands,2014,49159.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,PL,Poland,2014,657902.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,PT,Portugal,2014,212346.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,RO,Romania,2014,289252.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,SK,Slovakia,2014,180307.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,SI,Slovenia,2014,41237.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,ES,Spain,2014,1710475.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,SE,Sweden,2014,501831.0,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,AT,Austria,2014,19.35,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,BE,Belgium,2014,5.0,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,BG,Bulgaria,2014,0.96,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,HR,Croatia,2014,4.03,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,CY,Cyprus,2014,3.63,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,CZ,Czechia,2014,13.44,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,DK,Denmark,2014,6.25,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,EE,Estonia,2014,15.96,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,EU-27,European Union 27 (excluding UK),2014,6.08,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,EU-28,European Union 28,2014,5.78,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,FI,Finland,2014,9.29,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,FR,France,2014,3.87,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,DE,Germany,2014,6.18,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,EL,Greece,2014,6.71,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,HU,Hungary,2014,2.34,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,IE,Ireland,2014,1.16,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,IT,Italy,2014,10.91,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,LV,Latvia,2014,10.86,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,LT,Lithuania,2014,5.57,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,LU,Luxembourg,2014,3.43,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,MT,Malta,2014,0.29,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,NL,Netherlands,2014,2.67,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,PL,Poland,2014,4.56,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,PT,Portugal,2014,5.74,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,RO,Romania,2014,2.09,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,SK,Slovakia,2014,9.37,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,SI,Slovenia,2014,8.55,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,ES,Spain,2014,7.26,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,SE,Sweden,2014,16.53,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,AT,Austria,2014,48621607.42,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,BE,Belgium,2014,514905.49,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,CZ,Czechia,2014,43237598.01,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EU-27,European Union 27 (excluding UK),2014,214693840.62,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,EU-28,European Union 28,2014,216095112.29,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,FI,Finland,2014,14230632.51,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,DE,Germany,2014,59081298.9,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,HU,Hungary,2014,0.0,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,LV,Latvia,2014,14185576.47,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,PT,Portugal,2014,446352.37,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,SI,Slovenia,2014,7499008.89,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,ES,Spain,2014,272012.33,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,SE,Sweden,2014,26604848.23,
OIR_01 Total public expenditure,total EU expenditure under measure 11,EU funds,euro,OIR_01b_2.11,DOE,UK,United Kingdom,2014,1401271.67,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,AT,Austria,2014,95146647.69,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,BE,Belgium,2014,1029812.18,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,CZ,Czechia,2014,57650005.43,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EU-27,European Union 27 (excluding UK),2014,389691827.93,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EU-28,European Union 28,2014,393552080.46,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,FI,Finland,2014,33881740.32,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,DE,Germany,2014,104774268.68,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,HU,Hungary,2014,0.0,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,LV,Latvia,2014,20861141.87,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,PT,Portugal,2014,457666.83,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,SI,Slovenia,2014,9998679.0,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,ES,Spain,2014,362683.1,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,SE,Sweden,2014,65529182.83,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,UK,United Kingdom,2014,3860252.53,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,AT,Austria,2013,526689.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,BE,Belgium,2013,62471.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,BG,Bulgaria,2013,56287.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,HR,Croatia,2013,40660.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,CY,Cyprus,2013,4315.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,CZ,Czechia,2013,474231.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,DK,Denmark,2013,169310.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EE,Estonia,2013,151164.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EU-27,European Union 27 (excluding UK),2013,9511921.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EU-28,European Union 28,2013,10070639.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,FI,Finland,2013,204810.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,FR,France,2013,1060755.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,DE,Germany,2013,1008926.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EL,Greece,2013,383606.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,HU,Hungary,2013,130990.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,IE,Ireland,2013,53812.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,IT,Italy,2013,1317177.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,LV,Latvia,2013,185752.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,LT,Lithuania,2013,165885.0,
